ind_Latn,sun_Latn
"Vaksinasi rutin terhadap Streptococcus pneumoniae dengan vaksin pneumokokus konjugat (PCV), yang aktif melawan tujuh serotipe umum dari patogen ini, telah jauh menurunkan kejadian meningitis pneumokokus. Vaksin pneumokokus polisakarida, yang mencakup 23 jenis, hanya diberikan pada kelompok tertentu (misalnya: mereka yang mengalami splenektomi, pengangkatan limpa lewat operasi); vaksin ini tidak memberikan respon kekebalan tubuh yang berarti pada semua penerima, misalnya anak kecil. Vaksinasi anak-anak dengan Bacillus Calmette-Guérin sudah dilaporkan jauh menurunkan angka meningitis tuberkulosis, tetapi efektivitasnya yang menurun pada orang dewasa telah mendorong pencarian vaksin yang lebih baik.","Vaksin pneumokokus polisakarida, anu kaasup 23 wanda, ngan dibikeun ka sababaraha kelompok wungkul (jalma anu kakeunaan splenektomi, keur ngaleungitkeun limpa ngaliwatan operasi). Ieu vaksin henteu bisa nambahan kakuatan imun sakabéh anu divaksin utamana keur budak leutik. Vaksinasi keur barudak ngagunakeun Bacillus Calmette-Guérin geus dilaporkeun bisa ngurangan tingkat méningitis tuberkulosis sacara signifikan, tapi épéktipitasna nyirorot keur jalma anu sawawa."
"Beberapa mengatakan bahwa Hippocrates mungkin sudah menyadari keberadaan meningitis, dan tampaknya meningisme sudah dikenal oleh dokter sebelum zaman Renaisans, seperti Avicenna. Deskripsi meningitis tuberkulosis, yang saat itu disebut ""edema di dalam otak"", sering dihubungkan dengan dokter Edinburg Sir Robert Whytt dalam laporan posthumous yang muncul pada 1768, meskipun hubungan dengan tuberkulosis dan patogennya tidak dibuat sampai abad berikutnya.","Sababaraha literatur nuduhkeun yén Hippocrates geus apaleun kana panyakit méningitis. Meningismeu geus dipikaapal ku dokter saacan jaman Renaisans utamana ku tokoh Avicenna . Katerangan ngeunaan méningitis tuberkulosis anu harita dipikawanohedema dina uteuk geus dipatalikeun jeung dokter Edinburgh Sir Robert Whytt dina laporan posthumous anu muncul taun 1768, sanajan patali antara tuberkulosis jeung patogénna henteu dijieun nepi ka abad satuluyna."
"Tampaknya epidemik meningitis adalah fenomena yang cukup baru. Wabah besar pertama yang tercatat muncul di Jenewa pada 1805. Beberapa epidemik lain di Eropa dan Amerika Serikat dideskripsikan sesaat sesudah itu, dan laporan pertama epidemik di Afrika muncul 1840.","Wabah utama anu mimiti muncul di Jenéwa taun 1805. Sababaraha epidemi lain muncul di Éropa atawa di Amérika Serikat, tapi laporan mimiti epidemi téh ayana di Afrika taun 1840. Epidemi di Afrika leuwih mindeng dina abad ka-20 , dimimitian ku épidem utama di Nigeria jeung Ghana taun 1905-1908."
"Epidemik Afrika menjadi lebih sering pada abad ke 20 , dimulai dengan epidemik besar yang menyerang Nigeria dan Ghanapada 1905–1908. Laporan pertama infeksi bakteri yang menyebabkan meningitis adalah oleh seorang bakteriologis Austria Anton Weichselbaum, yang pada 1887 mendeksripsikan meningokokus. Mortalitas dari meningitis sangat tinggi (lebih dari 90%) pada laporan-laporan awal.","Laporan munggaran tina inféksi baktéri anu nyababkeun meningitis nyaéta ku ahli bakteriologi Austria Anton Weichselbaum, dina taun 1887 ngajelaskeun meningokokus . Mortalitas tina méingitis luhur pisan (leuwih ti 90%) dina laporan anu geus didadarkeun. Dina taun 1906, antiserum dihasilkeun dina kuda anu satuluyma dikembangkeun ku élmuwan Amérika Simon Flexner jeung sacara nyata nurunkeun mortalistas panyakit meningokokus."
"Pada 1906, antiserum diproduksi di kuda; hal ini dikembangkan lebih lanjut oleh seorang ilmuwan Amerika Simon Flexner dan secara nyata menurunkan mortalitas dari penyakit meningokokus. Pada 1944, penisilin pertama kali dilaporkan efektif untuk mengobati meningitis. Pengenalan vaksin Haemophilus di akhir abad ke-20 menyebabkan penurunan berarti dalam kasus meningitis yang dikaitkan dengan patogen ini, dan pada 2002, terdapat bukti-bukti yang menunjukkan bahwa pengobatan dengan steroid dapat memperbaiki prognosis meningitis bakteri.","Dina 1944, pénisilin mimiti dilaporkeun épéktip keur ngubaran méningitis. Tuluy diwanohkeun vaksin Haemophilus dina ahir abad ka-20 nyababkeun kaus méningitis patogén turun sacara signifikan. Taun 2002, aya bukti nu nuduhkeun yén ngubaran méningitis baktéri ku stéroid bisa nyageurkeun kalayanan sampurna."
Fotomontag organisme plankton,Potomontag organisme plankton
"Plankton adalah salah satu organisme hanyut apapun yang hidup dalam zona pelagik (bagian atas) samudera, laut, dan badan air tawar.","Plankton mangrupa salah sahiji organisme anu kumalayang jeung hirup di zona pelagik (luhur) sagara, laut, jeung dina cai tawar."
Plankton berasal dari bahasa Yunani yaitu planktos yang berarti pengembara atau penghanyut.,Plankton asalna tina basa Yunani planktos anu hartina ngumbara atawa nu sok palid.
Istilah ini diterapkan pertama kali oleh Victor Hansen Direktur Ekspedisi Jerman pada tahun 1887 yang terkenal dengan sebutan Plankton Expedition yang dibuat untuk menentukan sistematika organisme laut.,"Ieu istilah mimitina dilarapkeun ku Victor Hansen, Diréktur ékspJdisierman ekna 18taun 87, ianu pikawanoh salaku Plankton ekspedition anu dilaksanakeun keur nangtukeun sistematika organisme laut."
Setelah ekspedisi ini selesai disempurnakan kembali oleh Haeckel pada tahum 1990.,Sanggeus ékspédisi lekasan disampurnakeun deui ku Haeckel dina taun 1990.
"Secara luas plankton dianggap sebagai salah satu organisme terpenting di dunia, karena menjadi bekal makanan untuk kehidupan akuatik.","Plankton dianggap salah sahiji organisme anu pangpenting di dunya, sabab jadi sasadiaan kadaharan anu lana keur kahirupan akuatik."
"Bagi kebanyakan makhluk laut, plankton adalah makanan utama mereka.",Lolobana kadaharan utama mahluk laut téh nyapta lankton.
Plankton terdiri dari sisa-sisa hewan dan tumbuhan laut.,Plankton kabentuk tina sésa-sésa sato laut jeung tutuwuhan anu aya di laut.
Ukurannya kecil saja.,Ngan ukuranana leutik.
"Walaupun termasuk sejenis benda hidup, plankton tidak mempunyai kekuatan untuk melawan arus, air pasang atau angin yang menghanyutkannya.","Sanajan kaasup salah sahiji mahluk hirup, plankton henteu miboga kakuatan keur nolak arus pasang atawa angin anu malidkeunana."
Plankton hidup di pesisir pantai di mana ia mendapat bekal garam mineral dan cahaya matahari yang mencukupi. Ini penting untuk memungkinkannya terus hidup.,Plankton cicing di basisir anu loba uyah mineral jeung cahya panonpoé anu cukup keur kalumangsungan hirupna.
"Mengingat plankton menjadi makanan ikan, tidak mengherankan bila ikan banyak terdapat di pesisir pantai.",Plankton téh mangrupa kadaharan keur lauk anu nyababkeun lauk loba di basisir.
Itulah sebabnya kegiatan menangkap ikan aktif dijalankan di kawasan itu.,"Ku kituna, nguseup téh loba dilaksanakeun di basisir."
"Selain sisa-sisa hewan, plankton juga tercipta dari tumbuhan.","Salian ti tina babagian awak sato anu paéh, plankton ogé kawangun tina tutuwuhan laut."
"Jika dilihat menggunakan mikroskop, unsur tumbuhan alga dapat dilihat pada plankton.","Lamun ditempo tina mikroskop, unsur tutuwuhan alga bakal kapanggih dina plankton."
"Beberapa makhluk laut yang memakan plankton adalah seperti batu karang, kerang, dan ikan paus.","Sababaraha mahluk laut anu ngahakan plankton nyaéta batu, kerang, jeung paus ."
Umumnya ukuran plankton sangat kecil dan dapat diukur dengan besaran mikrometer sampai dengan milimeter.,"Sacara umum, ukuran plankton leutik pisan ngan bisa diukur ngagunakeun mikrométer nepi ka milimeter."
"Namun, ada juga yang berukuran besar seperi ubur-ubur scyphozoa yang ukurannya bisa mencapai dua meter, tapi untuk sebaran jenis ini di laut sangat sedikit.","Tapi, aya ogé ubur-ubur gedé jiga scyphozoa, anu ukuranana nepi ka dua méter, tapi sebaran spésiés ieu di laut saeutik pisan."
Ubur-ubur terbesar di dunia adalah Scyanea Actica yang memiliki diameter payung dua meter dan panjang umbai-umbai tentakelnya sampai dengan 20 meter.,Ubur-ubur panggedéna di dunya nyaéta Scyanea Actica anu diaméter payungna dua méter jeung panjang gumpalan tentakelna nepi ka 20 méter.
Ukuran kecil pada plakton sangat menguntungkan untuk adaptasi kehidupan mengapung di air.,Ukuran plankton anu leutik mangrupa adaptasi kahirupan sangkan gampang ngambang dina cai.
Dengan ukuran yang kecil daya apungnya akan lebh tinggi dan juga proses faali (fisiologi) antara individu sel dengan lingkungannya dapat terjadi dengan lebih efisien.,"Sabab ukuranna leutik, daya apungna bakal leuwih luhur jeung prosés fisiologis antara sél jeung lingkunganana bisa lumangsung sacara éfisién."
Jenis,Wanda
Fitoplankton adalah jenis plankton yang sering disebut mikroalga mirip dengan tanaman terestrial karena memiliki klorofil dan membutuhkan sinar matahari untuk hidup dan berkembang.,Phytoplankton mangrupa wanda plankton anu mindeng disebutmikroalga sarua jeung tutuwuhan terestrial anu miboga klorofil jeung butuh sinar matahari keur hirup jeung tumuwuh.
Fitoplakton dapat digunakan sebagai indikator kontaminasi dan kualitas air.,Pitoplanktonel bisa dipaké indikator kontaminasi jeung kualitas cai.
"Hal itu dapat terjadi karena fitoplankton akan terhambat populasi dan proses fotosintesisnya karena pencemaran air tempat tinggalnya. Fitoplankton bersifat seperti tumbuhan, seperti diatoaeme. Zooplankton adalah jenis plankton mikroskopis yang hidup pada tubuh air dan mengandalkan arus air sebagai transportasinya.","Ieu dipaké sabab populasi fitoplankton bakal dipeungpeuk jeung prosés fotosintétis balukar polusi cai tempat hirupna. Pitoplankton miboga sifat tutuwuhan, saperti diatoaeme . Zooplankton mangrupa wanda plankton mikroskopis anu hirup dina cai jeung ngandelkeun arus cai keur transportasina."
Zooplankton adalah makanan penting untuk ikan dan dapat mengevaluasi pencemaran air tempat mereka tinggal.,Zooplankton mangrupa kadaharan penting keur lauk jeung bisa jadi indokator kontaminasi cai di tempatna hirup.
"Zooplankton bersifat seperti hewan, seperti radiolaria dan foraminifera.","Zooplankton mah miboga sipat sato, saperti radiolaria jeung foraminifera ."
Komponen utama rantai makanan makhluk hidup di perairan.,Komponén utama rantai makanan keurmahluk anu hirup dina cai.
Fitoplankton dan rumput laut menghasilkan 70 persen oksigen bumi.,Pitoplankton dina jukut laut ngahasilkeun 70 persen oksigén saalam dunya.
Mengambil karbon dioksida di atmosfer dan menyimpannya jauh di dalam lautan sehingga plankton dapat mengekang perubahan iklim.,Mawa karbon dioksida di atmosfir tuluy diteundeun di jero laut nepi ka plankton mah bisa ngahambat parobahan iklim.
Plankton berjasa dalam pasokan minyak bumi bagi bahan bakar kendaraan melalui proses yang berasal dari laut kuno.,Plankton bisa ilubiung dina prosés kabentukna minyak bumi keur bahan bakar kandaraan ngaliwatan prosés anu asalna ti laut kuno.
"Kanker prostat adalah penyakit kanker yang berkembang di prostat, sebuah kelenjar dalam sistem reproduksi lelaki. Hal ini terjadi ketika sel prostat mengalami mutasi dan mulai berkembang di luar kendali. Sel ini dapat menyebar secara metastasis dari prostat ke bagian tubuh lainnya, terutama tulang dan lymph node.","Kangker prostat nyaéta kanker anu berkembang dina prostat, kelenjar dina sistem réproduksi lalaki ."
"Jumlah kanker prostat sangat bervariasi di dunia, namun jarang terjadi di Asia Timur dan Selatan; sering terjadi di Eropa dan Amerika Serikat. Menurut American Cancer Society, kanker prostat paling jarang di pria Asia dan paling sering terjadi di orang hitam, dan orang Eropa di tengahnya.","Jumlah kanker prostat béda-béda di unggal panjuru dunya, tapi jarang aya kajadian di Asia Wétan atawa Kidul, lolobana kajadian di Éropa jeung Amérika Serikat. Kangker prostat jarang tumerap ka lalaki di Asia, lolobana kajadian ka lalaki anu kulitna hideung, jeunf urang Éropa salaku panengahna."
Pada penderita ditemukan rasio plasma vitamin B12 yang sangat rendah.,Dina awak anu kakeunaan ieu panyakit kapanggih rasio plasma vitamin B12 anu nyirorot pisan.
"Beberapa faktor yang dapat meningkatkan risiko terkena kanker prostat adalah usia, ras, riwayat keluarga (faktor keturunan), hormon, dan pola makan.","Faktor anu bisa ningkatkeun kakeunaam kangker kanker prostat nyaéta umur, ras, riwayat kulawarga (turunan), hormon, jeung pola dahar."
Risiko menderita kanker prostat ditemukan meningkat pada pria kulit putih dengan usia > 50 tahun atau pria kulit hitam dengan usia > 40 tahun.,Résiko tumerap kangker prostat téh ngaronjat keur jalma anu kulitna bodas kalayan umur leuwih ti 50 taun atawa lalaki kulit hideung anu umurna leuwih ti 40 taun.
Etnis kulit hitam memiliki risiko kanker prostat 1.6x lebih tinggi daripada pria kulit putih.,Étnis kulit hideung miboga résiko 1.6x leuwih luhur tibatan lalaki anu kulitna bodas.
"Pria yang memiliki keluarga laki-laki penderita kanker prostat (saudara, ayah, kakek) memiliki risiko yang lebih tinggi menderita penyakit tersebut dibandingkan dengan pria yang tidak punya riwayat keluarga.","Lalaki anu kulawarga lalakina keuna ku kangker prostat (lanceuk, bapa, akina) miboga résiko leuwih langkung luhur katerap panyakit tibatan lalaki anu henteu boa riwayat di kulawargana."
"Faktor lainnya yang diduga dapat menyebabkan kanker prostat adalah perubahan hormon testosteron dan pola makan yang terlalu banyak mengkonsumsi lemak. Menurut penelitian lainnya, agen kimia seperti Cadmium juga ditemukan pada perkembangan kanker prostat.",Faktor séjén anu bisa nyababkeun kangker prostat nyaéta parobahan hormon téstostéron jeung pola dahar anu loba teuing ngandung lemak . Kadang agén kimia saperti Cadmium ogé kapanggih dina sél kangker prostat.
Kanker paru-paru merupakan penyakit dengan ciri khas adanya pertumbuhan sel yang tidak terkontrol pada jaringan paru-paru.,Kangker bayah mangrup panyakit anu dicirian ku tumuhna sél anu teu terkendali dina jaringan bayah.
"Bila tidak dirawat, pertumbuhan sel ini dapat menyebar ke luar dari paru-paru melalui suatu proses yang disebut metastasis ke jaringan yang terdekat atau bagian tubuh yang lainnya.","Saupama teu dirawat, tumuwuhna sél ieu tiasa sumebar di luar bayah ku prosés anu disebut metastasis kana jaringan anu deukeut bagian awak atawa bagian awak anu sanés."
"Sebagian besar kanker yang mulai di paru-paru, yang dikenal sebagai kanker paru primer, adalah karsinoma yang berasal dari sel epitelium.","Kaseueuran kanker anu dimimitian dina bayah, katelah kanker paru primér, nyaéta karsinoma anu asalna tina sél épitél."
"Jenis kanker paru yang utama adalah SCLC (kanker paru sel kecil), atau disebut juga kanker sel gandum, dan NSCLC (kanker paru non-sel-kecil).","Jenis utama kanker paru-paru nyaéta SCLC (kanker paru sél leutik), ogé katelah kanker sél gandum, sareng NSCLC (kanker paru sél sanés alit)."
"Gejala paling umum adalah batuk (termasuk batuk darah), berat badan turun dan sesak napas.","The gejala paling umum anu batuk (kaasup batuk nepi getih ), leungitna beurat tur shortness tina napas."
"Penyebab paling umum kanker paru adalah paparan dalam jangka waktu yang lama terhadap asap tembakau, yang menyebabkan 80–90% kanker paru. Bukan perokok mencapai angka 10–15% dari kasus kanker paru, dan kasus ini biasanya disebabkan oleh kombinasi antara faktor genetik, gas radon, asbestos, dan polusi udara termasuk asap rokok pasif. Kanker paru dapat dilihat melalui foto rontgen dada dan tomografi komputer (CT scan). diagnosis dapat dipastikan dengan biopsi yang biasanya dilakukan melalui prosedur bronkoskopi atau dipandu dengan CT.","Penyebab kanker paru anu paling umum nyaéta paparan jangka panjang kana haseup bako, anu nyababkeun 80-90% kanker paru-paru. Anu henteu ngarokok nyatakeun 10-15% kasus kanker paru-paru, sareng kasus ieu biasana disababkeun ku gabungan faktor genetik, gas radon , asbés, sareng polusi udara kaasup haseup roko. pasip ."
"Perawatan dan hasil dalam jangka panjang tergantung pada tipe kanker, stadium (tingkat penyebaran), dan keadaan kesehatan pasien secara keseluruhan, diukur berdasarkan kondisi umum.",Kanker paru tiasa ditingali ngaliwatan sinar-x dada sareng tomografi komputer (CT scan). diagnosis tiasa dikonfirmasi ku biopsy
Tanda-tanda dan gejala,Gejala
Alergi atau hipersensitivitas tipe I (1 dari 4) adalah kegagalan kekebalan tubuh di mana tubuh seseorang menjadi hipersensitif dalam bereaksi secara imunologi terhadap bahan-bahan yang umumnya imunogenik (antigenik) atau dikatakan orang yang bersangkutan bersifat atopik.,Alergi atawa hipersensitivitas tipe I (1 dina 4) mangrupa gagalna imunitas dimana awak hiji jalma jadi hypersensitive dina ngaréaksikeun imunologis kana zat anu umumna imunogenik ( antigenic ) atanapi nyarios yén jalma anu prihatin atopik.
"Dengan kata lain, tubuh manusia bereaksi berlebihan terhadap lingkungan atau bahan-bahan yang oleh tubuh dianggap asing dan berbahaya, padahal sebenarnya tidak untuk orang-orang yang tidak bersifat atopik.","Kalayan kecap séjén, awak manusa réaksés kana lingkungan atanapi zat-zat anu dianggap asing jeung bahaya, tapi nyatana éta sanés kanggo jalma anu henteu atopik."
Bahan-bahan yang menyebabkan hipersensitivitas tersebut disebut alergen.,Bahan-bahan anu nyababkeun hipersensitivitas disebat alergen.
Penyebab,Sabab
"Simtomanya meliputi mata merah, gatal-gatal, rhinorrhea, eksem, urticaria, atau serangan asma.","Gejalana nyaéta panon beureum, hives, rhinorrhea, éksim, urticaria, atawa serangan asma."
